"indicator","period","start","end","group","subgroup","value"
"Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Vermont",8.5
"Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Virginia",9.7
"Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Washington",11.7
"Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","West Virginia",8.9
"Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Wisconsin",9.2
"Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Wyoming",10
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Alabama",28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Alaska",21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Arizona",24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Arkansas",25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","California",22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Colorado",25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Connecticut",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Delaware",26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","District of Columbia",30.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Florida",21.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Georgia",25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Hawaii",18.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Idaho",31.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Illinois",24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Indiana",27
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Iowa",25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Kansas",24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Kentucky",26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Louisiana",28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Maine",28.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Maryland",25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Massachusetts",30.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Michigan",28.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Minnesota",25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Mississippi",25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Missouri",27.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Montana",28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Nebraska",26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Nevada",20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New Hampshire",31.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New Jersey",22.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New Mexico",26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New York",21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","North Carolina",32.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","North Dakota",21.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Ohio",27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Oklahoma",29.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Oregon",29.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Pennsylvania",28.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Rhode Island",28.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","South Carolina",29.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","South Dakota",20.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Tennessee",27
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Texas",19.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Utah",30.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Vermont",29.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Virginia",25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Washington",26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","West Virginia",29.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Wisconsin",23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Wyoming",22.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Alabama",10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Alaska",10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Arizona",14.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Arkansas",10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","California",9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Colorado",12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Connecticut",6.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Delaware",9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","District of Columbia",11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Florida",8.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Georgia",13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Hawaii",0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Idaho",10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Illinois",8.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Indiana",9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Iowa",7.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Kansas",8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Kentucky",9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Louisiana",9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Maine",10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Maryland",11.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Massachusetts",10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Michigan",11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Minnesota",7.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Mississippi",6.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Missouri",13.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Montana",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Nebraska",8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Nevada",9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New Hampshire",7.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New Jersey",6.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New Mexico",13.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","New York",10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","North Carolina",10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","North Dakota",7.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Ohio",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Oklahoma",15.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Oregon",15.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Pennsylvania",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Rhode Island",10.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","South Carolina",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","South Dakota",10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Tennessee",10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Texas",13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Utah",11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Vermont",6.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Virginia",9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Washington",11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","West Virginia",5.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Wisconsin",8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","33",2021-06-23,2021-07-05,"By State","Wyoming",10.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alabama",26.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alaska",25.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arizona",21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arkansas",30.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","California",17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Colorado",23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Connecticut",20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Delaware",21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","District of Columbia",23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Florida",21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Georgia",24.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Hawaii",13.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Idaho",24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Illinois",22
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Indiana",28.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Iowa",23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kansas",24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kentucky",24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Louisiana",29.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maine",26.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maryland",19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Massachusetts",25.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Michigan",19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Minnesota",29.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Mississippi",28.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Missouri",27.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Montana",23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nebraska",26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nevada",18
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Hampshire",24
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Jersey",20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Mexico",19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New York",17.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Carolina",26.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Dakota",21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Ohio",27.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oklahoma",28.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oregon",24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Pennsylvania",23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Rhode Island",27.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Carolina",22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Dakota",20
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Tennessee",21.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Texas",18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Utah",27.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Vermont",21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Virginia",23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Washington",21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","West Virginia",30.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wisconsin",25
"Took Prescription Medication for Mental Health, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wyoming",22.6
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alabama",9.5
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alaska",12.4
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arizona",8
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arkansas",12.2
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","California",11.5
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Colorado",14.2
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Connecticut",11.4
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Delaware",10.1
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","District of Columbia",21.8
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Florida",8.8
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Georgia",12.8
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Hawaii",10.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Idaho",9.5
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Illinois",14.7
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Indiana",8.6
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Iowa",10.2
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kansas",9.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kentucky",8.8
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Louisiana",13.7
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maine",12.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Maryland",15
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Massachusetts",15.4
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Michigan",11.1
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Minnesota",11.9
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Mississippi",10.2
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Missouri",10.6
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Montana",9
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nebraska",8.5
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Nevada",10.1
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Hampshire",11.2
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Jersey",9
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New Mexico",10.5
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","New York",10.7
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Carolina",11.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","North Dakota",5.9
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Ohio",11.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oklahoma",11.1
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Oregon",14.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Pennsylvania",10.4
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Rhode Island",14.4
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Carolina",8
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","South Dakota",7
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Tennessee",6.1
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Texas",8.9
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Utah",11.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Vermont",15.2
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Virginia",9.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Washington",12.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","West Virginia",9.3
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wisconsin",7.5
"Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Wyoming",10.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alabama",29
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Alaska",30.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arizona",23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Arkansas",33.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","California",22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Colorado",27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Connecticut",25.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Delaware",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","District of Columbia",33.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Florida",23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Georgia",27.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Hawaii",19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Idaho",26.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Illinois",26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Indiana",30.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Iowa",28.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kansas",29.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Kentucky",26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","34",2021-07-21,2021-08-02,"By State","Louisiana",32.8
